Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.133944629,178 /  27     ,,B
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.133944629,173 /  15     ,,B
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.133944629,46 /  57     ,,B
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.133944629,51 /  42     ,,B
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.125687253,69 /  232     ,,B
HMG-CoA reductase   (by homology),HMGCR,P04035,CHEMBL402,Oxidoreductase,0.125687253,150 /  109     ,,B
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.125687253,9 /  8     ,,B
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.125687253,8 /  11     ,,B
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.125687253,19 /  6     ,,B
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.125687253,73 /  57     ,,B
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.125687253,0 /  1     ,,B
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.125687253,42 /  15     ,,B
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.125687253,6 /  2     ,,B
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.125687253,181 /  67     ,,B
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.125687253,6 /  14     ,,B
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.125687253,44 /  6     ,,B
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.125687253,42 /  6     ,,B
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.125687253,3 /  3     ,,B
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.125687253,24 /  27     ,,B
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.125687253,46 /  7     ,,B
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.125687253,0 /  1     ,,B
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.125687253,0 /  4     ,,B
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.125687253,33 /  3     ,,B
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.125687253,21 /  5     ,,B
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.125687253,194 /  0     ,,B
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.125687253,6 /  0     ,,B
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.125687253,583 /  10     ,,B
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.125687253,17 /  8     ,,B
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.125687253,21 /  19     ,,B
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.125687253,56 /  83     ,,B
Thrombin,F2,P00734,CHEMBL204,Protease,0.125687253,75 /  9     ,,B
Signal transducer and activator of transcription 3,STAT3,P40763,CHEMBL4026,Transcription factor,0.125687253,8 /  13     ,,B
DNA polymerase beta,POLB,P06746,CHEMBL2392,Enzyme,0.125687253,1 /  14     ,,B
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.125687253,221 /  27     ,,B
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.125687253,5 /  3     ,,B
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.125687253,170 /  0     ,,B
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.125687253,12 /  2     ,,B
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.125687253,0 /  8     ,,B
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.125687253,133 /  0     ,,B
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.125687253,68 /  2     ,,B
Prolyl endopeptidase,PREP,P48147,CHEMBL3202,Protease,0.125687253,3 /  3     ,,B
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.125687253,21 /  0     ,,B
