Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.092223901,64 /  259     ,,D
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.083305553,66 /  68     ,,D
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.083305553,38 /  10     ,,D
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.074392272,20 /  32     ,,D
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.074392272,189 /  20     ,,D
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.074392272,26 /  7     ,,D
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.074392272,16 /  5     ,,D
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.074392272,43 /  7     ,,D
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.074392272,125 /  23     ,,D
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.074392272,65 /  57     ,,D
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.074392272,34 /  40     ,,D
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.074392272,129 /  62     ,,D
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.074392272,0 /  4     ,,D
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.074392272,0 /  1     ,,D
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.074392272,42 /  15     ,,D
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.074392272,65 /  2     ,,D
HMG-CoA reductase   (by homology),HMGCR,P04035,CHEMBL402,Oxidoreductase,0.074392272,141 /  103     ,,D
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.074392272,0 /  1     ,,D
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.074392272,6 /  2     ,,D
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.074392272,0 /  1     ,,D
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.074392272,15 /  2     ,,D
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.074392272,0 /  4     ,,D
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.074392272,5 /  13     ,,D
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.074392272,0 /  8     ,,D
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.074392272,8 /  11     ,,D
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.074392272,8 /  8     ,,D
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.074392272,21 /  6     ,,D
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.074392272,34 /  5     ,,D
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.074392272,154 /  0     ,,D
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.074392272,174 /  0     ,,D
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.074392272,6 /  5     ,,D
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.074392272,7 /  6     ,,D
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.074392272,6 /  0     ,,D
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.074392272,134 /  0     ,,D
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.074392272,4 /  3     ,,D
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.074392272,4 /  0     ,,D
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.074392272,43 /  0     ,,D
Endothelin receptor ET-A,EDNRA,P25101,CHEMBL252,Family A G protein-coupled receptor,0.074392272,76 /  4     ,,D
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.074392272,1 /  1     ,,D
Thrombin,F2,P00734,CHEMBL204,Protease,0.074392272,70 /  9     ,,D
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.074392272,505 /  8     ,,D
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.074392272,18 /  0     ,,D
