Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.133944629,193 /  21     ,,F
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.125687253,8 /  2     ,,F
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.125687253,182 /  17     ,,F
HMG-CoA reductase   (by homology),HMGCR,P04035,CHEMBL402,Oxidoreductase,0.125687253,173 /  115     ,,F
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.125687253,74 /  238     ,,F
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.125687253,6 /  3     ,,F
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.125687253,20 /  6     ,,F
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.125687253,0 /  4     ,,F
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.125687253,58 /  40     ,,F
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.125687253,12 /  2     ,,F
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.125687253,74 /  54     ,,F
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.125687253,206 /  57     ,,F
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.125687253,78 /  59     ,,F
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.125687253,0 /  8     ,,F
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.125687253,46 /  5     ,,F
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.125687253,5 /  3     ,,F
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.125687253,208 /  0     ,,F
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.125687253,7 /  0     ,,F
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.125687253,49 /  15     ,,F
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.125687253,614 /  10     ,,F
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.125687253,8 /  11     ,,F
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.125687253,25 /  18     ,,F
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.125687253,64 /  60     ,,F
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.125687253,14 /  8     ,,F
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.125687253,0 /  1     ,,F
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.125687253,7 /  15     ,,F
Thrombin,F2,P00734,CHEMBL204,Protease,0.125687253,82 /  9     ,,F
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.125687253,49 /  6     ,,F
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.125687253,50 /  7     ,,F
