Target,Common name,Uniprot ID,ChEMBL ID,Target Class,Probability*,Known actives (3D/2D),,Compuesto
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.083305553,63 /  266     ,,I
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.074392272,65 /  66     ,,I
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.074392272,13 /  2     ,,I
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.074392272,0 /  4     ,,I
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.074392272,40 /  9     ,,I
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.074392272,20 /  32     ,,I
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.074392272,57 /  53     ,,I
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.074392272,6 /  2     ,,I
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.074392272,135 /  16     ,,I
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.074392272,182 /  40     ,,I
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.074392272,27 /  7     ,,I
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.074392272,17 /  6     ,,I
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.074392272,43 /  8     ,,I
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.074392272,38 /  15     ,,I
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.074392272,0 /  8     ,,I
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.074392272,8 /  6     ,,I
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.074392272,136 /  51     ,,I
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.074392272,0 /  1     ,,I
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.074392272,0 /  1     ,,I
HMG-CoA reductase   (by homology),HMGCR,P04035,CHEMBL402,Oxidoreductase,0.074392272,136 /  103     ,,I
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.074392272,134 /  0     ,,I
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.074392272,4 /  3     ,,I
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.074392272,21 /  6     ,,I
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.074392272,33 /  40     ,,I
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.074392272,123 /  0     ,,I
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.074392272,126 /  0     ,,I
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.074392272,0 /  4     ,,I
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.074392272,183 /  0     ,,I
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.074392272,6 /  14     ,,I
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.074392272,6 /  0     ,,I
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.074392272,16 /  0     ,,I
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.074392272,165 /  0     ,,I
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.074392272,5 /  0     ,,I
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.074392272,43 /  0     ,,I
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.074392272,28 /  0     ,,I
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.074392272,14 /  0     ,,I
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.074392272,54 /  0     ,,I
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.074392272,8 /  0     ,,I
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.074392272,110 /  3     ,,I
PI3-kinase p110-delta subunit,PIK3CD,O00329,CHEMBL3130,Enzyme,0.074392272,91 /  0     ,,I
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.074392272,353 /  0     ,,I
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.074392272,128 /  0     ,,I
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.074392272,7 /  11     ,,I
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.074392272,76 /  0     ,,I
Subtilisin/kexin type 7,PCSK7,Q16549,CHEMBL2232,Protease,0.074392272,0 /  1     ,,I
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.074392272,60 /  2     ,,I
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.074392272,495 /  15     ,,I
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.074392272,37 /  5     ,,I
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.074392272,8 /  0     ,,I
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.074392272,14 /  0     ,,I
Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET,RET,P07949,CHEMBL2041,Kinase,0.074392272,16 /  0     ,,I
Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.074392272,119 /  0     ,,I
Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.074392272,39 /  0     ,,I
Tyrosine-protein kinase TYK2,TYK2,P29597,CHEMBL3553,Kinase,0.074392272,54 /  0     ,,I
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.074392272,196 /  0     ,,I
MAP kinase signal-integrating kinase 2,MKNK2,Q9HBH9,CHEMBL4204,Kinase,0.074392272,15 /  0     ,,I
ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.074392272,17 /  0     ,,I
Serine/threonine-protein kinase PIM2,PIM2,Q9P1W9,CHEMBL4523,Kinase,0.074392272,87 /  0     ,,I
Ephrin receptor,EPHB4,P54760,CHEMBL5147,Kinase,0.074392272,31 /  0     ,,I
Serine/threonine-protein kinase PIM3,PIM3,Q86V86,CHEMBL5407,Kinase,0.074392272,65 /  0     ,,I
