node1,node2,experimentally
ABCB1,ATP12A,0.064
ABCB1,MAPK3,0.071
ABCB1,STAT3,0
ABCB1,HMGCR,0.177
ABCB1,KIT,0
ABCB1,BCL2L1,0
ABCB1,CASP3,0
ABCB1,GSTM1,0
ABCB1,PRKDC,0.05
ABCB1,NR1I2,0
ABCB1,PTGS2,0
ABCB1,JUN,0.11
ABCB1,ABL1,0.057
ABCB1,PIM1,0.404
ABCB1,SRC,0.057
ABL1,CDKN1B,0.365
ABL1,MAPK14,0.146
ABL1,MDM2,0.384
ABL1,PIK3CA,0.124
ABL1,STAT3,0.124
ABL1,CDK2,0.149
ABL1,PPARG,0.299
ABL1,KIT,0.414
ABL1,MAP2K1,0.261
ABL1,BCL2L1,0.379
ABL1,TERT,0.379
ABL1,CASP3,0.064
ABL1,PRKDC,0.355
ABL1,LCK,0
ABL1,PTPN11,0.281
ABL1,FYN,0.105
ABL1,EPHB4,0.185
ABL1,MTOR,0.432
ABL1,JUN,0.399
ABL1,HSP90AB1,0.236
ABL1,PTPN1,0.465
ABL1,PRKCZ,0.379
ABL1,AR,0.23
ABL1,ALOX5,0
ABL1,PRKCD,0.398
ABL1,CDK1,0.473
ABL1,JAK2,0.379
ABL1,VAV1,0.467
ABL1,YES1,0
ABL1,NTRK1,0.379
ABL1,SRC,0.379
ADA,FAP,0.354
ADA,NR3C1,0.379
ADA,ADORA2A,0.388
ADA,ADORA1,0.388
ADA,ADORA3,0.055
ADA,DRD1,0.388
ADAM17,MAPK1,0.379
ADAM17,MAPK14,0
ADAM17,MMP8,0
ADAM17,MAPK3,0
ADAM17,IL1B,0
ADAM17,STAT3,0
ADAM17,MMP3,0
ADAM17,PRKCB,0
ADAM17,F2,0
ADAM17,CASP3,0
ADAM17,PDPK1,0.379
ADAM17,BACE2,0
ADAM17,MMP1,0
ADAM17,PTGS2,0
ADAM17,SRC,0.379
ADAM17,PRKCA,0
ADCY1,OPRD1,0.06
ADCY1,PRKCG,0
ADCY1,OPRK1,0.06
ADCY1,HTR6,0.06
ADCY1,CXCR1,0.06
ADCY1,CCR1,0.06
ADCY1,MAP3K15,0
ADCY1,PRKCB,0
ADCY1,PDE3A,0
ADCY1,PDE7A,0.137
ADCY1,PRKCA,0
ADCY1,PDE10A,0.137
ADCY1,PDE4D,0.157
ADCY1,PDE2A,0.137
ADCY1,PDE4B,0.157
ADCY1,PRKCD,0
ADCY1,EDNRA,0.06
ADCY1,PRKCE,0
ADCY1,ADORA3,0.06
ADCY1,ADORA1,0.06
ADCY1,DRD3,0.06
ADCY1,DRD1,0.06
ADORA1,OPRD1,0
ADORA1,MAPK3,0
ADORA1,P2RX3,0
ADORA1,OPRK1,0
ADORA1,REN,0
ADORA1,CXCR1,0
ADORA1,CCR1,0
ADORA1,P2RX7,0
ADORA1,ADORA2A,0.454
ADORA1,DRD1,0.379
ADORA1,ADORA3,0
ADORA1,DRD3,0
ADORA2A,ATP12A,0
ADORA2A,MAPK3,0
ADORA2A,P2RX3,0
ADORA2A,REN,0
ADORA2A,CASP3,0.055
ADORA2A,P2RX7,0
ADORA3,OPRD1,0
ADORA3,MAPK3,0
ADORA3,P2RX3,0
ADORA3,OPRK1,0
ADORA3,REN,0
ADORA3,CXCR1,0
ADORA3,CCR1,0
ADORA3,P2RX7,0
ADORA3,DRD1,0
ADORA3,DRD3,0
ALK,MAPK1,0.309
ALK,MDM2,0.05
ALK,MAPK3,0.261
ALK,PIK3CA,0.124
ALK,STAT3,0.181
ALK,IGF1R,0.389
ALK,PIK3CB,0.181
ALK,MAP2K1,0.261
ALK,INSR,0.389
ALK,TERT,0
ALK,CASP3,0.064
ALK,PTPN11,0.185
ALK,RET,0.096
ALK,MTOR,0.124
ALK,JUN,0.185
ALK,HSP90AB1,0.236
ALK,SRC,0.439
ALK,PIK3CD,0.124
ALK,JAK2,0.118
ALK,JAK3,0.389
ALOX5,MAPK1,0
ALOX5,MAPK14,0
ALOX5,MAPK3,0
ALOX5,IL1B,0
ALOX5,PPARG,0
ALOX5,CASP3,0
ALOX5,PTGES,0
ALOX5,PTGS1,0
ALOX5,PTGS2,0
ALOX5,SYK,0
ALOX5,TBXAS1,0
ALOX5,PLA2G2A,0
AR,MAPK1,0.399
AR,AURKA,0
AR,CDKN1B,0
AR,MAPK14,0.073
AR,NR3C1,0.379
AR,CDC25B,0.379
AR,VHL,0.384
AR,MDM2,0.393
AR,CREBBP,0.574
AR,MAPK3,0.073
AR,BRD4,0.46
AR,PIK3CA,0
AR,STAT3,0.386
AR,CDK2,0
AR,IGF1R,0.085
AR,KIT,0.051
AR,BCL2L1,0.064
AR,CDC25A,0.379
AR,INSR,0.085
AR,PRKCB,0.348
AR,CASP3,0.39
AR,PRKDC,0.379
AR,MET,0.085
AR,MMP1,0
AR,GSK3B,0.407
AR,PGR,0
AR,PPP1CC,0.082
AR,NR3C2,0.379
AR,MTOR,0
AR,PARP1,0
AR,PTGS2,0.05
AR,CASP7,0.325
AR,JUN,0.454
AR,HSP90AB1,0.474
AR,CDK9,0.379
AR,PIM1,0
AR,SRC,0.407
AR,PPP2CA,0.349
AR,IARS,0.379
AR,CDK1,0.379
AR,CYP19A1,0.085
ATP12A,PTGS1,0
ATP12A,REN,0.053
