Protein,Fuente,B,C,D,E,F,G,I
VAV1,Entrada,0,0,1,1,0,0,0
PDE4B,Entrada,0,1,0,0,0,1,1
PCSK7,Entrada,1,1,1,0,1,1,1
EPHB4,Entrada,1,1,1,1,1,1,1
PARP1,Entrada,0,0,1,1,1,1,1
MMP8,Entrada,0,1,1,0,1,0,1
SERPINA6,Entrada,1,1,0,0,0,0,0
PIK3CB,Entrada,1,1,0,0,0,0,0
CCR1,Entrada,1,1,1,1,1,1,1
CSF1R,Entrada,0,0,0,0,1,0,0
PPP2CA,Entrada,0,1,0,0,0,0,0
MMP3,Entrada,0,1,0,0,0,0,1
PRKCE,Entrada,1,1,1,1,1,1,1
MAST1,Entrada,0,0,0,0,1,0,0
HUNK,Entrada,0,0,0,0,1,0,0
PDE10A,Entrada,1,1,1,0,1,1,0
HTR6,Entrada,0,0,1,1,0,1,1
MAPK14,Entrada,1,1,1,1,1,1,1
ADA,Entrada,0,0,0,1,0,0,0
ABL1,Entrada,0,0,0,0,1,0,0
PTPN11,Entrada,0,1,0,0,1,0,0
PRKCA,Entrada,1,1,1,1,1,1,1
RPS6KA5,Entrada,1,1,0,0,1,1,1
AR,Entrada,1,1,1,1,1,1,1
ADORA1,Entrada,1,0,1,1,0,0,0
IMPDH1,Entrada,0,0,0,0,1,0,0
JAK2,Entrada,0,0,1,1,0,1,1
RET,Entrada,1,1,1,1,1,1,1
VHL,Entrada,1,1,0,0,1,0,0
SBK1,Entrada,0,0,0,0,1,0,0
KCNA3,Entrada,1,1,1,1,1,1,1
ABCB1,Entrada,1,1,1,1,1,1,1
BRAF,Entrada,1,0,0,0,1,0,0
TYK2,Entrada,1,1,1,1,1,1,1
ALK,Entrada,1,1,1,1,1,1,1
PPARG,Entrada,0,0,0,0,1,0,0
TNKS2,Entrada,0,0,1,1,0,0,1
PSMB2,Entrada,0,0,1,1,0,1,0
PLA2G2A,Entrada,1,1,1,1,1,0,0
STK38,Entrada,0,0,0,0,1,0,0
IL1B,Entrada,1,0,0,0,0,0,0
ITGAL,Entrada,1,0,0,0,0,0,0
STK39,Entrada,0,0,0,0,1,0,0
CREBBP,Entrada,1,1,1,1,1,1,1
ADORA2A,Entrada,1,1,1,0,0,0,0
