#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ABCB1,ATP12A,9606.ENSP00000478255,9606.ENSP00000218548,0,0,0,0,0.062,0.064,0,0.482,0.506
ABCB1,MAPK3,9606.ENSP00000478255,9606.ENSP00000263025,0,0,0,0,0.062,0.071,0,0.417,0.447
ABCB1,STAT3,9606.ENSP00000478255,9606.ENSP00000264657,0,0,0,0,0.062,0,0,0.64,0.648
ABCB1,HMGCR,9606.ENSP00000478255,9606.ENSP00000287936,0,0,0,0,0,0.177,0,0.384,0.472
ABCB1,KIT,9606.ENSP00000478255,9606.ENSP00000288135,0,0,0,0,0.061,0,0,0.448,0.459
ABCB1,BCL2L1,9606.ENSP00000478255,9606.ENSP00000302564,0,0,0,0,0,0,0,0.458,0.458
ABCB1,CASP3,9606.ENSP00000478255,9606.ENSP00000311032,0,0,0,0,0,0,0,0.541,0.541
ABCB1,GSTM1,9606.ENSP00000478255,9606.ENSP00000311469,0,0,0,0,0,0,0,0.5,0.499
ABCB1,PRKDC,9606.ENSP00000478255,9606.ENSP00000313420,0,0,0,0,0.055,0.05,0,0.493,0.506
ABCB1,NR1I2,9606.ENSP00000478255,9606.ENSP00000336528,0,0,0,0,0.084,0,0,0.836,0.843
ABCB1,PTGS2,9606.ENSP00000478255,9606.ENSP00000356438,0,0,0,0,0,0,0,0.514,0.514
ABCB1,JUN,9606.ENSP00000478255,9606.ENSP00000360266,0,0,0,0,0,0.11,0,0.37,0.415
ABCB1,ABL1,9606.ENSP00000478255,9606.ENSP00000361423,0,0,0,0,0,0.057,0,0.628,0.635
ABCB1,PIM1,9606.ENSP00000478255,9606.ENSP00000362608,0,0,0,0,0,0.404,0,0.408,0.632
ABCB1,SRC,9606.ENSP00000478255,9606.ENSP00000362680,0,0,0,0,0,0.057,0,0.639,0.646
ABL1,CDKN1B,9606.ENSP00000361423,9606.ENSP00000228872,0,0,0,0,0,0.365,0.9,0.354,0.955
ABL1,MAPK14,9606.ENSP00000361423,9606.ENSP00000229795,0,0,0,0.623,0.061,0.146,0.9,0.384,0.924
ABL1,MDM2,9606.ENSP00000361423,9606.ENSP00000258149,0,0,0,0,0,0.384,0.9,0.731,0.982
ABL1,PIK3CA,9606.ENSP00000361423,9606.ENSP00000263967,0,0,0,0,0.058,0.124,0,0.495,0.547
